         7234688 function calls (6622586 primitive calls) in 11.808 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    24000    0.006    0.000    0.006    0.000 function_base.py:1316(_diff_dispatcher)
     4000    0.006    0.000    0.006    0.000 {built-in method numpy.empty}
      339    0.006    0.000    0.023    0.000 {built-in method builtins.sum}
    49422    0.005    0.000    0.005    0.000 {built-in method unicodedata.east_asian_width}
      113    0.005    0.000    0.027    0.000 std.py:355(format_meter)
     4114    0.005    0.000    0.005    0.000 {method 'update' of 'dict' objects}
     4000    0.005    0.000    0.117    0.000 <__array_function__ internals>:177(unique)
     4000    0.005    0.000    0.106    0.000 <__array_function__ internals>:177(argwhere)
     4000    0.004    0.000    0.006    0.000 copyreg.py:90(__newobj__)
    12563    0.004    0.000    0.004    0.000 {built-in method builtins.divmod}
     2000    0.004    0.000    0.241    0.000 Battle.py:26(get_force_advantage)
     4000    0.004    0.000    0.055    0.000 <__array_function__ internals>:177(transpose)
     2000    0.004    0.000    0.023    0.000 fromnumeric.py:2523(cumsum)
     4000    0.004    0.000    0.004    0.000 enum.py:631(__new__)
     2001    0.004    0.000    0.051    0.000 std.py:1174(__iter__)
    12000    0.003    0.000    0.003    0.000 shape_base.py:877(_hvdsplit_dispatcher)
     4000    0.003    0.000    0.022    0.000 <__array_function__ internals>:177(nonzero)
      921    0.003    0.000    0.004    0.000 {method 'format' of 'str' objects}
     4000    0.003    0.000    0.004    0.000 arraysetops.py:125(_unpack_tuple)
     4000    0.003    0.000    0.015    0.000 fromnumeric.py:1892(nonzero)
     2000    0.003    0.000    0.029    0.000 <__array_function__ internals>:177(cumsum)
     4000    0.003    0.000    0.003    0.000 {method 'transpose' of 'numpy.ndarray' objects}
     4000    0.003    0.000    0.047    0.000 fromnumeric.py:601(transpose)
    12000    0.003    0.000    0.003    0.000 shape_base.py:735(_array_split_dispatcher)
      117    0.003    0.000    0.003    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    12000    0.003    0.000    0.003    0.000 shape_base.py:795(_split_dispatcher)
     4000    0.002    0.000    0.002    0.000 enum.py:738(__reduce_ex__)
     2001    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     2125    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.RLock' objects}
     2000    0.002    0.000    0.004    0.000 __init__.py:1424(debug)
     4007    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x909780}
     2006    0.002    0.000    0.004    0.000 __init__.py:218(_acquireLock)
     2001    0.002    0.000    0.002    0.000 __init__.py:1689(isEnabledFor)
     6000    0.001    0.000    0.001    0.000 fromnumeric.py:874(_sort_dispatcher)
